B3SA3	ITUB4	PETR4	BBDC4	PETR3	ABEV3	MGLU3	WEGE3	BBAS3	ITSA4	JBSS3	SUZB3	VALE3	NTCO3	LREN3	GNDI3	RENT3	LAME4	VVAR3	BBDC3	EQTL3	RAIL3	RADL3	BTOW3	VIVT4	UGPA3	BPAC11	GGBR4	SBSP3	BBSE3	BRFS3	KLBN11	BRDT3	CCRO3	HAPV3	HYPE3	SULA11	COGN3	CSAN3	TIMP3	ELET3	ENGI11	EGIE3	TOTS3	SANB11	CMIG4	BRAP4	IRBR3	YDUQ3	CSNA3	BRML3	ELET6	QUAL3	CRFB3	FLRY3	MRFG3	AZUL4	CYRE3	BRKM5	MULT3	GOAU4	EMBR3	CIEL3	MRVE3	ENBR3	CPFE3	USIM5	BEEF3	CVCB3	IGTA3	GOLL4	ECOR3	HGTX3
35.9	32.61	25.98	31.62	28.73	17.27	25.23	18.95	49.44	11.41	21.52	30.77	47.22	27.82	44.44	42.02	36.53	16.07	5.06	28.05	17.18	19.13	72.08	31.43	46.86	19.69	46.32	14.01	46.08	26.63	27.2	15.01	23.64	13.92	38.43	27.97	32.96	10.4	46.03	10.77	34.17	43.21	42.9	13.92	41.39	13.59	30.1	29.72	29.3	16.86	12.66	34.82	17.96	23.01	20.35	6.57	44.1	17.13	31.97	25.78	6.61	18.48	6.4	16.58	18.84	26.75	8.61	8.06	48.61	41.37	30.98	9.61	27.06
36.64	32.77	26.48	31.76	29.32	17.33	25.81	19.09	50.42	11.43	21.31	30.85	50.24	29.03	44.93	42.13	37.07	15.94	5.0	28.12	17.43	19.28	72.34	32.8	46.7	20.59	46.26	14.43	45.83	26.95	27.0	15.05	24.17	14.42	37.28	28.03	32.52	10.36	47.98	10.75	35.19	43.55	42.76	14.09	41.37	13.87	31.78	29.22	28.95	17.82	12.61	35.66	17.78	22.91	20.68	6.52	43.74	17.5	33.17	25.65	6.83	18.5	6.43	16.6	18.69	26.98	8.92	8.0	49.1	41.4	31.06	9.88	27.36
36.28	32.58	26.17	31.39	28.89	17.29	25.31	19.4	49.94	11.38	21.63	30.26	50.3	28.23	45.06	42.19	36.78	15.63	4.84	28.17	17.25	19.3	73.46	31.33	47.22	20.17	46.22	14.32	45.38	26.89	27.0	14.98	23.93	14.3	36.59	27.95	33.1	10.31	47.16	10.77	34.79	44.19	41.86	14.12	41.3	13.51	31.58	29.18	28.56	16.83	12.71	35.24	18.26	22.39	20.51	6.51	43.62	17.28	33.3	25.82	6.72	18.63	6.31	16.16	18.77	27.36	8.71	8.01	48.67	41.18	30.78	9.89	26.72
36.39	31.99	26.5	31.05	29.28	17.46	26.11	19.71	49.15	11.23	21.06	31.93	50.65	28.36	45.41	42.16	37.18	15.94	5.04	27.87	17.52	19.84	73.1	31.81	47.54	21.13	46.36	14.51	46.54	26.8	28.57	15.41	24.17	14.39	38.25	28.37	32.82	10.51	47.58	10.93	34.07	44.66	42.23	14.47	40.75	13.66	32.05	28.94	29.45	16.75	13.25	34.48	18.64	22.59	20.63	6.8	44.25	17.54	34.28	26.63	6.84	19.02	6.5600000000000005	16.3	18.59	28.22	8.84	8.02	49.99	43.08	30.92	10.21	27.93
34.46	32.0	26.38	31.0	29.55	17.26	26.36	19.64	48.28	11.19	20.65	32.5	50.21	28.48	45.5	40.76	37.14	15.93	4.97	27.49	17.65	19.77	73.76	30.68	47.51	20.98	45.78	14.21	45.34	26.71	29.1	15.2	23.92	14.21	37.6	27.95	32.31	10.44	46.29	10.74	34.06	44.53	41.49	14.85	40.62	13.43	31.71	28.22	28.84	16.4	13.35	34.6	19.07	22.3	20.26	6.71	43.79	17.55	33.6	26.83	6.68	18.67	6.51	16.6	18.45	27.96	8.57	8.17	50.55	43.28	30.43	10.37	27.29
34.21	31.97	26.43	30.92	29.52	17.41	25.85	20.01	48.23	11.18	20.41	32.9	49.04	28.4	45.9	41.62	37.49	15.75	5.07	27.34	17.58	19.31	74.45	30.96	46.65	21.08	46.71	14.07	45.91	26.73	28.7	15.08	23.4	14.03	36.97	27.87	32.13	10.15	45.14	10.5	33.22	44.21	40.97	14.76	40.33	13.6	31.09	29.06	28.28	16.01	13.28	33.67	18.91	22.11	19.96	6.72	44.78	17.5	33.02	26.17	6.61	18.77	6.53	16.98	18.1	28.27	8.51	8.27	51.05	42.85	31.11	10.33	26.57
36.73	32.79	26.76	31.19	29.97	17.66	25.93	20.34	49.36	11.4	20.12	33.38	50.8	28.26	46.15	41.54	37.84	15.83	5.07	27.65	17.69	19.75	74.43	32.73	47.39	20.83	47.8	14.59	45.6	27.73	28.2	15.35	24.0	14.21	37.78	27.75	32.7	10.21	45.72	10.91	33.24	44.09	41.56	14.68	41.36	13.49	32.42	29.62	28.09	16.52	13.36	33.72	19.24	22.51	20.05	6.61	45.25	17.96	34.58	26.69	6.91	18.73	6.65	17.61	18.06	28.31	8.69	8.2	50.79	43.57	32.07	10.48	26.76
36.04	33.31	26.83	31.57	30.19	17.8	26.16	20.86	50.17	11.57	20.77	33.0	51.09	29.75	47.49	40.84	38.63	16.04	5.06	28.3	17.87	20.48	75.45	33.64	46.99	20.45	48.52	14.81	46.56	27.45	28.6	15.6	23.9	14.24	38.75	27.95	33.19	10.45	45.72	11.2	34.07	44.41	41.25	14.76	41.76	13.5	32.55	29.64	28.64	16.24	13.35	34.12	19.47	22.39	20.16	6.52	45.4	18.19	34.82	27.07	7.03	18.59	6.75	17.69	18.15	28.17	8.57	8.02	51.95	43.71	32.94	10.5	27.01
38.31	34.06	27.57	32.29	31.12	18.05	26.49	21.12	50.56	11.77	21.57	33.76	51.22	29.48	46.63	40.88	38.58	16.41	5.1	28.95	18.0	20.88	73.91	34.03	47.15	20.89	49.25	15.07	45.45	27.86	28.66	15.59	24.27	14.74	39.12	28.63	33.4	10.83	45.25	11.54	33.51	44.8	41.09	14.26	42.79	13.63	32.46	29.99	29.3	16.14	13.87	33.61	19.43	21.75	20.35	6.55	44.26	18.33	34.53	27.61	7.09	19.13	7.18	18.6	18.2	28.15	8.6	7.95	53.27	44.57	32.32	10.89	27.66
38.26	33.99	27.54	32.54	30.99	17.9	26.16	21.27	50.69	11.82	21.3	34.52	51.19	29.01	47.05	40.61	39.21	16.39	5.11	29.08	17.91	20.75	74.77	33.39	47.53	20.95	48.71	14.98	45.21	27.78	28.89	15.73	24.27	14.47	39.14	29.13	34.11	10.89	45.47	11.59	33.12	44.17	40.85	14.3	42.97	13.66	32.62	30.47	29.1	16.08	13.72	33.28	19.67	21.9	20.48	6.62	43.57	18.47	35.18	27.58	7.11	19.42	7.07	18.71	18.21	27.97	8.65	7.95	53.54	44.69	32.04	10.8	28.34
